activityTags,actors,business,categoryid,categoryname,cityid,cityname,couponTags,description,id,imgurl,isAtmospheric,iseticket,isgeneralagent,issuperticket,isxuanzuo,name,nameNoHtml,price,price_str,pricehigh,privilegeTags,projectid,promotionTags,showstatus,showtag,showtime,sitestatus,subcategoryid,subcategoryname,subhead,venue,venuecity,venueid,verticalPic
[],艺人：Greg Laswell,0,1,演唱会,906,深圳,[],艺人：Greg Laswell,1_1_610941961313,1814452317,False,0,1,0,0,Greg Laswell 2020 巡演 深圳站,Greg Laswell 2020 巡演 深圳站,240.0,240-300,300.0,[],610941961313,[],售票中,,2020.03.20-12.31,3,13,其他,,深圳 HOU LIVE,深圳,1258031,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN012Kzku32GdSE1FBzRX_!!2251059038.jpg
[],艺人：廖一梅、孟京辉,0,3,话剧歌剧,1580,杭州,[],艺人：廖一梅、孟京辉,1_1_611237387018,1817406574,False,0,1,0,1,孟京辉大型多媒体音乐话剧《琥珀》,孟京辉大型多媒体音乐话剧《琥珀》,0.0,价格待定,10000000.0,[],611237387018,[],售票中,,时间待定,3,19,话剧,,杭州大剧院(歌剧院),杭州,364,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01rebykF2GdSDvM8YHo_!!2251059038.jpg
[],艺人：曹轩宾,0,1,演唱会,906,深圳,[],艺人：曹轩宾,1_1_611153271865,1816565422,False,0,1,0,0,曹轩宾「我」2020年巡回演唱会 深圳站,曹轩宾「我」2020年巡回演唱会 深圳站,150.0,150,150.0,[],611153271865,[],售票中,,2020.09.25 周五 20:30,3,13,其他,,深圳 HOU LIVE,深圳,1258031,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01D5PAMm2GdSEeUIgWO_!!0-item_pic.jpg
[],,0,7,展览休闲,1580,杭州,[],,1_1_610104289686,1806075600,False,0,1,0,0,"《尾田荣一郎监修 Hello,ONE PIECE路飞来了！》航海王巡展","《尾田荣一郎监修 Hello,ONE PIECE路飞来了！》航海王巡展",60.0,60-180,180.0,[],610104289686,[],售票中,,2020.02.22-12.31,3,38,展会,,浙江世界贸易中心1号馆,杭州,2598004,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN01NwB18n2GdSDp1ZoeE_!!2251059038.jpg
[],,0,7,展览休闲,906,深圳,[],,1_1_610107921939,1806111923,False,0,0,0,0,「开展营业中」设计的价值在中国,「开展营业中」设计的价值在中国,38.0,38-68,68.0,[],610107921939,[],售票中,,2020.01.19-12.20,3,38,展会,,海上世界文化艺术中心,深圳,92496,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i2/2251059038/O1CN019XVOKm2GdSDmiengs_!!2251059038.jpg
[],,0,3,话剧歌剧,872,上海,[],,1_1_609794400120,1802976705,False,0,0,0,0,经典戏剧·上话重绎 瑞典戏剧大师斯特林堡的经典话剧 《朱莉小姐》,经典戏剧·上话重绎 瑞典戏剧大师斯特林堡的经典话剧 《朱莉小姐》,180.0,180-580,580.0,[],609794400120,[],售票中,,2020.11.11-11.22,3,19,话剧,,上海话剧艺术中心-艺术剧院,上海,56938,https://img.alicdn.com/bao/uploaded/i1/2251059038/O1CN01jDyYpF2GdSDzNaWwO_!!2-item_pic.png
[],,0,3,话剧歌剧,872,上海,[],,1_1_609793188923,1802964593,False,0,0,0,0,纪念夏衍诞辰120周年 上海话剧艺术中心·人文之光演出季 海派经典话剧 《上海屋檐下》,纪念夏衍诞辰120周年 上海话剧艺术中心·人文之光演出季 海派经典话剧 《上海屋檐下》,180.0,180-580,580.0,[],609793188923,[],售票中,,2020.10.23-11.01,3,19,话剧,,上海话剧艺术中心-艺术剧院,上海,56938,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN0173Y8QC2GdSDm0k21G_!!2251059038.jpg
[],,0,2,音乐会,1835,济南,[],,1_1_610463151600,1809664220,False,0,1,0,1,【万有音乐系】《最后的莫西干人——亚历桑德罗印第安音乐品鉴会》-济南站,【万有音乐系】《最后的莫西干人——亚历桑德罗印第安音乐品鉴会》-济南站,80.0,80-480,480.0,[],610463151600,[],售票中,,2020.05.23-12.31,3,18,其他,,济南历山剧院,济南,340,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i4/2251059038/O1CN01BXuemr2GdSDjVPvMs_!!2251059038.jpg
[],艺人：赤世代,0,1,演唱会,3250,西安,[],艺人：赤世代,1_1_610197082788,1807003531,False,0,0,0,0,2020.9.5赤世代 I Need You 演唱会 Live In XI’AN,2020.9.5赤世代 I Need You 演唱会 Live In XI’AN,180.0,180,180.0,[],610197082788,[],售票中,,2020.09.05 周六,3,13,其他,,西演LIVE·光圈CLUB,西安,56761,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01PVB2712GdSE9RDgYr_!!2251059038.png
[],,0,2,音乐会,872,上海,[],,1_1_610140619199,1806438895,False,0,0,0,1,菊次郎的夏天——久石让钢琴曲梦幻之旅演奏会(不继续售卖),菊次郎的夏天——久石让钢琴曲梦幻之旅演奏会(不继续售卖),80.0,80-680,680.0,[],610140619199,[],售票中,,2020.08.07 周五 19:30,3,18,其他,,东方艺术中心-音乐厅,上海,56854,https://img.alicdn.com/bao/uploaded/https://img.alicdn.com/imgextra/i1/2251059038/O1CN01yeQlsS2GdSDfMgALw_!!2251059038.jpg
