activityId,actors,category,subcategory,city
2200,,曲苑杂坛,其他曲苑杂坛,上海
2201,,曲苑杂坛,其他曲苑杂坛,上海
2202,,曲苑杂坛,其他曲苑杂坛,上海
2203,,曲苑杂坛,其他曲苑杂坛,上海
2204,,曲苑杂坛,其他曲苑杂坛,上海
2205,,曲苑杂坛,其他曲苑杂坛,上海
2206,,音乐会,室内乐及古乐,深圳
2207,,音乐会,室内乐及古乐,深圳
2208,,音乐会,室内乐及古乐,深圳
2209,,音乐会,室内乐及古乐,深圳
2210,,音乐会,室内乐及古乐,深圳
2211,,音乐会,室内乐及古乐,深圳
2212,,音乐会,室内乐及古乐,深圳
2213,,音乐会,室内乐及古乐,深圳
2214,,音乐会,室内乐及古乐,深圳
2215,,儿童亲子,其他儿童亲子,石家庄
2216,,儿童亲子,其他儿童亲子,石家庄
2217,,儿童亲子,其他儿童亲子,石家庄
2218,,儿童亲子,其他儿童亲子,石家庄
2219,,儿童亲子,其他儿童亲子,石家庄
2220,,儿童亲子,其他儿童亲子,石家庄
2221,,儿童亲子,其他儿童亲子,石家庄
2222,,儿童亲子,其他儿童亲子,石家庄
2223,,儿童亲子,其他儿童亲子,石家庄
2224,,展览休闲,展会,武汉
2225,,展览休闲,展会,武汉
2226,,展览休闲,展会,武汉
2227,,展览休闲,展会,武汉
2228,,展览休闲,展会,武汉
2229,,展览休闲,展会,武汉
2230,,展览休闲,展会,武汉
2231,,展览休闲,展会,武汉
2232,,展览休闲,展会,武汉
2233,,体育,球类运动,北京
2234,,体育,球类运动,北京
2235,,体育,球类运动,北京
2236,,体育,球类运动,北京
2237,,体育,球类运动,北京
2238,,体育,球类运动,北京
2239,,体育,球类运动,北京
2240,,体育,球类运动,北京
2241,,体育,球类运动,北京
2242,,话剧歌剧,音乐剧,南京
2243,,话剧歌剧,音乐剧,南京
2244,,话剧歌剧,音乐剧,南京
2245,,话剧歌剧,音乐剧,南京
2246,,话剧歌剧,音乐剧,南京
2247,,话剧歌剧,音乐剧,南京
2248,,话剧歌剧,音乐剧,南京
2249,,话剧歌剧,音乐剧,南京
2250,,话剧歌剧,音乐剧,南京
2251,,体育,篮球,深圳
2252,,体育,篮球,深圳
2253,,体育,篮球,深圳
2254,,体育,篮球,深圳
2255,,体育,篮球,深圳
2256,,体育,篮球,深圳
2257,,体育,篮球,深圳
2258,,体育,篮球,深圳
2259,,体育,篮球,深圳
2260,,儿童亲子,其他儿童亲子,济南
2261,,儿童亲子,其他儿童亲子,济南
2262,,儿童亲子,其他儿童亲子,济南
2263,,儿童亲子,其他儿童亲子,济南
2264,,儿童亲子,其他儿童亲子,济南
2265,,儿童亲子,其他儿童亲子,济南
2266,,儿童亲子,其他儿童亲子,济南
2267,,儿童亲子,其他儿童亲子,济南
2268,,儿童亲子,其他儿童亲子,济南
2269,,展览休闲,展会,上海
2270,,展览休闲,展会,上海
2271,,展览休闲,展会,上海
2272,,展览休闲,展会,上海
2273,,展览休闲,展会,上海
2274,,展览休闲,展会,上海
2275,,展览休闲,展会,上海
2276,,展览休闲,展会,上海
2277,,展览休闲,展会,上海
2278,,展览休闲,特色体验,杭州
2279,,展览休闲,特色体验,杭州
2280,,展览休闲,特色体验,杭州
2281,,展览休闲,特色体验,杭州
2282,,展览休闲,特色体验,杭州
2283,,展览休闲,特色体验,杭州
2284,,展览休闲,特色体验,杭州
2285,,展览休闲,特色体验,杭州
2286,,展览休闲,特色体验,杭州
2287,艺人：王若琳,演唱会,其他演唱会,中山
2288,艺人：王若琳,演唱会,其他演唱会,中山
2289,艺人：王若琳,演唱会,其他演唱会,中山
2290,艺人：王若琳,演唱会,其他演唱会,中山
2291,艺人：王若琳,演唱会,其他演唱会,中山
2292,艺人：王若琳,演唱会,其他演唱会,中山
2293,艺人：王若琳,演唱会,其他演唱会,中山
2294,艺人：王若琳,演唱会,其他演唱会,中山
2295,艺人：王若琳,演唱会,其他演唱会,中山
2296,,话剧歌剧,话剧,成都
2297,,话剧歌剧,话剧,成都
2298,,话剧歌剧,话剧,成都
2299,,话剧歌剧,话剧,成都
2300,,话剧歌剧,话剧,成都
2301,,话剧歌剧,话剧,成都
2302,,话剧歌剧,话剧,成都
2303,,话剧歌剧,话剧,成都
2304,,话剧歌剧,话剧,成都
2305,,展览休闲,特色体验,北京
2306,,展览休闲,特色体验,北京
2307,,展览休闲,特色体验,北京
2308,,展览休闲,特色体验,北京
2309,,展览休闲,特色体验,北京
2310,,展览休闲,特色体验,北京
2311,,展览休闲,特色体验,北京
2312,,展览休闲,特色体验,北京
2313,,展览休闲,特色体验,北京
2314,,儿童亲子,其他儿童亲子,天津
2315,,儿童亲子,其他儿童亲子,天津
2316,,儿童亲子,其他儿童亲子,天津
2317,,儿童亲子,其他儿童亲子,天津
2318,,儿童亲子,其他儿童亲子,天津
2319,,儿童亲子,其他儿童亲子,天津
2320,,儿童亲子,其他儿童亲子,天津
